56,20 Questions - Amy Rigby,Amy Rigby,"Th e Orchard Enterprises, Inc. - USA",17400,Amy Rigby,DIGI,10/19 - 10/19,0 .00000000,1,0.09,50.00,$ 0.05
57,20 Questions - Amy Rigby,Amy Rigby,"Th e Orchard Enterprises, Inc. - USA",17402,Amy Rigby,DIGI,12/19 - 12/19,0 .00000000,3,0.23,50.00,$ 0.11
58,20 Questions - Amy Rigby,Amy Rigby,Tidal - USA,17524,Tidal - Premium,DIGI,03/20 - 03/20,0 .00000000,8,0.01,50.00,$ 0.00
59,20 Questions - Amy Rigby,Amy Rigby,Tidal - USA,17584,Tidal - Premium,DIGI,05/20 - 05/20,0 .00000000,7,0.01,50.00,$ 0.00
60,20th Anniversary - Amy Rigby,Amy Rigby,CMRRA - Canada,17264,Emusic,DIGI,07/17 - 09/17,0 .00000000,0,0.01,50.00,$ 0.00
61,All I Want - Amy Rigby,Amy Rigby,AMCOS - Australia,17105,,DIGI,00/ 0 - 03 /19,0 .00000000,2,0.07,50.00,$ 0.04
62,All I Want - Amy Rigby,Amy Rigby,AMCOS - Australia,17106,,DIGI,00/ 0 - 06 /19,0 .00000000,1,0.03,50.00,$ 0.01
63,All I Want - Amy Rigby,Amy Rigby,AMCOS - Australia,17223,,DIGI,00/ 0 - 09 /19,0 .00000000,1,0.03,50.00,$ 0.01
64,All I Want - Amy Rigby,Amy Rigby,"AMI En tertainment, Inc. - USA",17362,Ronnie Spector,DIGI,01/19 - 03/19,0 .00000000,1,0.01,50.00,$ 0.00
65,All I Want - Amy Rigby,Amy Rigby,"AMI En tertainment, Inc. - USA",17363,Ronnie Spector,DIGI,04/19 - 06/19,0 .00000000,1,0.01,50.00,$ 0.00
66,All I Want - Amy Rigby,Amy Rigby,"AMI En tertainment, Inc. - USA",17364,Ronnie Spector,DIGI,07/19 - 09/19,0 .00000000,2,0.01,50.00,$ 0.01
67,All I Want - Amy Rigby,Amy Rigby,Amazon Music Unlimited - USA,17116,Amazon Mu sic,DIGI,12/19 - 12/19,0 .00000000,16,0.02,50.00,$ 0.01
68,All I Want - Amy Rigby,Amy Rigby,Amazon Music Unlimited - USA,17129,Amazon Mu sic,DIGI,01/20 - 01/20,0 .00000000,60,0.09,50.00,$ 0.05
69,All I Want - Amy Rigby,Amy Rigby,Amazon Music Unlimited - USA,17532,Amazon Mu sic,DIGI,02/20 - 02/20,0 .00000000,64,0.11,50.00,$ 0.05
70,All I Want - Amy Rigby,Amy Rigby,Amazon Music Unlimited - USA,17581,Amazon Mu sic,DIGI,03/20 - 03/20,0 .00000000,35,0.05,50.00,$ 0.03
71,All I Want - Amy Rigby,Amy Rigby,Amazon Music Unlimited - USA,17582,Amazon Mu sic,DIGI,04/20 - 04/20,0 .00000000,22,0.03,50.00,$ 0.02
72,All I Want - Amy Rigby,Amy Rigby,Amazon Music Unlimited - USA,18035,,DIGI,05/20 - 05/20,0 .00000000,1,0.00,50.00,$ 0.00
73,All I Want - Amy Rigby,Amy Rigby,Amazon Music Unlimited - USA,18035,Amy Rigby,DIGI,05/20 - 05/20,0 .00000000,14,0.02,50.00,$ 0.01
74,All I Want - Amy Rigby,Amy Rigby,"Apple, Inc. - USA",17309,Amy Rigby,DIGI,10/19 - 12/19,0 .00000000,214,0.09,50.00,$ 0.05
75,All I Want - Amy Rigby,Amy Rigby,"Apple, Inc. - USA",17309,Ronnie Spector,DIGI,10/19 - 12/19,0 .00000000,447,0.22,50.00,$ 0.11
76,All I Want - Amy Rigby,Amy Rigby,"Apple, Inc. - USA",17934,Amy Rigby,MECH,01/20 - 03/20,0 .00000000,661,0.29,50.00,$ 0.15
77,All I Want - Amy Rigby,Amy Rigby,"Apple, Inc. - USA",17934,Ronnie Spector,MECH,01/20 - 03/20,0 .00000000,492,0.24,50.00,$ 0.12
78,All I Want - Amy Rigby,Amy Rigby,CMRRA - Canada,17264,Apple,DIGI,07/17 - 09/17,0 .00000000,0,0.53,50.00,$ 0.26
