,title,artist,source,reference,product,income_type,income_period,rate,quantity,amount_received,percent_payable,amount_payable
78,"AMI En tertainment, Inc. - USA",Amy Rigby,CMRRA - Canada,Apple,,17264,07/17 - 09/17,0 .00000000,0,0.53,50.00,$ 0.26
79,"AMI En tertainment, Inc. - USA",Amy Rigby,DIGI,Emusic,,17264,07/17 - 09/17,0 .00000000,0,0.08,50.00,$ 0.04
80,"AMI En tertainment, Inc. - USA",Amy Rigby,DIGI,Napster Llc,,17264,07/17 - 09/17,0 .00000000,0,0.01,50.00,$ 0.00
81,"AMI En tertainment, Inc. - USA",Amy Rigby,"Google, Inc. - USA",Amy Rigby,,17221,10/19 - 12/19,0 .00000000,65,0.07,50.00,$ 0.04
82,"AMI En tertainment, Inc. - USA",Amy Rigby,DIGI,Ronnie Spector,,17221,10/19 - 12/19,0 .00000000,16,0.02,50.00,$ 0.01
83,"AMI En tertainment, Inc. - USA",Amy Rigby,"Google, Inc. - YouTube - USA",17464,,DIGI,10/19 - 12/19,0 .00000000,18,0.02,50.00,$ 0.01
84,"AMI En tertainment, Inc. - USA",Amy Rigby,IHEART Communications - USA,ihea rt Plus,,17131,01/20 - 01/20,0 .00000000,"4,208",0.03,50.00,$ 0.01
85,"AMI En tertainment, Inc. - USA",Amy Rigby,DIGI,ihea rt Premium,,17131,01/20 - 01/20,0 .00000000,106,0.00,50.00,$ 0.00
86,"AMI En tertainment, Inc. - USA",Amy Rigby,"Music Reports, Inc. - USA",Pandora Plus,,17006,12/19 - 12/19,0 .00000000,9,0.00,50.00,$ 0.00
87,"AMI En tertainment, Inc. - USA",Amy Rigby,DIGI,Pandora,,17006,12/19 - 12/19,0 .00000000,2,0.00,50.00,$ 0.00
88,"AMI En tertainment, Inc. - USA",Amy Rigby,DIGI,Hoopla,,17008,12/19 - 12/19,0 .00000000,3,0.01,50.00,$ 0.01
89,"AMI En tertainment, Inc. - USA",Amy Rigby,DIGI,Amazon Mu sic,,17014,11/19 - 11/19,0 .00000000,19,0.02,50.00,$ 0.01
90,"AMI En tertainment, Inc. - USA",Amy Rigby,DIGI,Tidal - Premium,,17016,01/19 - 01/19,0 .00000000,22,0.02,50.00,$ 0.01
91,"AMI En tertainment, Inc. - USA",Amy Rigby,Pandora - USA,Pandora Plus,,17133,01/20 - 01/20,0 .00000000,11,0.00,50.00,$ 0.00
92,"AMI En tertainment, Inc. - USA",Amy Rigby,DIGI,Pandora,,17133,01/20 - 01/20,0 .00000000,9,0.01,50.00,$ 0.00
93,"AMI En tertainment, Inc. - USA",Amy Rigby,DIGI,Pandora,,17133,01/20 - 01/20,0 .00000000,2,0.00,50.00,$ 0.00
94,"AMI En tertainment, Inc. - USA",Amy Rigby,DIGI,Pandora Plus,,17523,02/20 - 02/20,0 .00000000,19,0.01,50.00,$ 0.00
95,"AMI En tertainment, Inc. - USA",Amy Rigby,DIGI,Pandora,,17523,02/20 - 02/20,0 .00000000,7,0.00,50.00,$ 0.00
96,"AMI En tertainment, Inc. - USA",Amy Rigby,DIGI,Pandora Plus,,17536,03/20 - 03/20,0 .00000000,9,0.00,50.00,$ 0.00
97,"AMI En tertainment, Inc. - USA",Amy Rigby,DIGI,Pandora,,17536,03/20 - 03/20,0 .00000000,4,0.00,50.00,$ 0.00
98,"AMI En tertainment, Inc. - USA",Amy Rigby,DIGI,Pandora Plus,,17583,04/20 - 04/20,0 .00000000,5,0.00,50.00,$ 0.00
99,"AMI En tertainment, Inc. - USA",Amy Rigby,DIGI,Pandora,,17583,04/20 - 04/20,0 .00000000,1,0.00,50.00,$ 0.00
100,"AMI En tertainment, Inc. - USA",Amy Rigby,DIGI,Amy Rigby,,18039,05/20 - 05/20,0 .00000000,10,0.00,50.00,$ 0.00
101,50.00,Amy Rigby,"Spotify USA, Inc. - USA",Ronnie Spector,,17424,04/19 - 04/19,0 .00000000,83,0.03,50.00,$ 0.01
102,50.00,Amy Rigby,DIGI,Amy Rigby,,17426,05/19 - 05/19,0 .00000000,31,0.01,50.00,$ 0.00
103,50.00,Amy Rigby,DIGI,Ronnie Spector,,17426,05/19 - 05/19,0 .00000000,168,0.07,50.00,$ 0.03
104,50.00,Amy Rigby,DIGI,Amy Rigby,,17428,06/19 - 06/19,0 .00000000,40,0.02,50.00,$ 0.01
105,50.00,Amy Rigby,DIGI,Ronnie Spector,,17428,06/19 - 06/19,0 .00000000,96,0.04,50.00,$ 0.02
106,50.00,Amy Rigby,DIGI,Amy Rigby,,17431,07/19 - 07/19,0 .00000000,32,0.01,50.00,$ 0.01
107,50.00,Amy Rigby,DIGI,Ronnie Spector,,17431,07/19 - 07/19,0 .00000000,122,0.06,50.00,$ 0.03
108,50.00,Amy Rigby,DIGI,Amy Rigby,,17434,08/19 - 08/19,0 .00000000,36,0.01,50.00,$ 0.01
