Title,,,,,,,,,
"",Product,Income,,Income,Rate,Quantity,Amount,%,Amount
Source Ref #,Number,Type,,Period,,,Received Payable,,Payable
20 Questions - Amy Rigby,,,,,,,,,
IHEART Communications - USA,,,,,,,,,
17131 iheart Plus,,DIGI,,01/20 - 01/20,0.00000000,"4,208",0.03,50.00,$ 0.01
17131 iheart Premium,,DIGI,,01/20 - 01/20,0.00000000,106,0.00,50.00,$ 0.00
"Music Reports, Inc. - USA",,,,,,,,,
17006 Pandora Plus,,DIGI,,12/19 - 12/19,0.00000000,9,0.00,50.00,$ 0.00
17006 Pandora,,DIGI,,12/19 - 12/19,0.00000000,2,0.00,50.00,$ 0.00
17008 Hoopla,,DIGI,,12/19 - 12/19,0.00000000,3,0.01,50.00,$ 0.01
17014 Amazon Music,,DIGI,,11/19 - 11/19,0.00000000,19,0.02,50.00,$ 0.01
17016 Tidal - Premium,,DIGI,,01/19 - 01/19,0.00000000,22,0.02,50.00,$ 0.01
Pandora - USA,,,,,,,,,
17133 Pandora Plus,,DIGI,,01/20 - 01/20,0.00000000,11,0.00,50.00,$ 0.00
17133 Pandora,,DIGI,,01/20 - 01/20,0.00000000,9,0.01,50.00,$ 0.00
17133 Pandora,,DIGI,,01/20 - 01/20,0.00000000,2,0.00,50.00,$ 0.00
17523 Pandora Plus,,DIGI,,02/20 - 02/20,0.00000000,19,0.01,50.00,$ 0.00
17523 Pandora,,DIGI,,02/20 - 02/20,0.00000000,7,0.00,50.00,$ 0.00
17536 Pandora Plus,,DIGI,,03/20 - 03/20,0.00000000,9,0.00,50.00,$ 0.00
17536 Pandora,,DIGI,,03/20 - 03/20,0.00000000,4,0.00,50.00,$ 0.00
17583 Pandora Plus,,DIGI,,04/20 - 04/20,0.00000000,5,0.00,50.00,$ 0.00
17583 Pandora,,DIGI,,04/20 - 04/20,0.00000000,1,0.00,50.00,$ 0.00
Title,,,,,,,,,
"",Product,Income,Income,,Rate,Quantity,Amount,%,Amount
Source Ref #,Number,Type,Period,,,,Received Payable,,Payable
18039 Amy Rigby,,DIGI,05/20 - 05/20,,0.00000000,10,0.00,50.00,$ 0.00
"Spotify USA, Inc. - USA",,,,,,,,,
17424 Ronnie Spector,,DIGI,04/19 - 04/19,,0.00000000,83,0.03,50.00,$ 0.01
17426 Amy Rigby,,DIGI,05/19 - 05/19,,0.00000000,31,0.01,50.00,$ 0.00
17426 Ronnie Spector,,DIGI,05/19 - 05/19,,0.00000000,168,0.07,50.00,$ 0.03
17428 Amy Rigby,,DIGI,06/19 - 06/19,,0.00000000,40,0.02,50.00,$ 0.01
17428 Ronnie Spector,,DIGI,06/19 - 06/19,,0.00000000,96,0.04,50.00,$ 0.02
17431 Amy Rigby,,DIGI,07/19 - 07/19,,0.00000000,32,0.01,50.00,$ 0.01
17431 Ronnie Spector,,DIGI,07/19 - 07/19,,0.00000000,122,0.06,50.00,$ 0.03
17434 Amy Rigby,,DIGI,08/19 - 08/19,,0.00000000,36,0.01,50.00,$ 0.01
17434 Ronnie Spector,,DIGI,08/19 - 08/19,,0.00000000,124,0.05,50.00,$ 0.03
17437 Amy Rigby,,DIGI,09/19 - 09/19,,0.00000000,50,0.02,50.00,$ 0.01
17437 Ronnie Spector,,DIGI,09/19 - 09/19,,0.00000000,169,0.07,50.00,$ 0.03
17440 Amy Rigby,,DIGI,10/19 - 10/19,,0.00000000,125,0.04,50.00,$ 0.02
17440 Ronnie Spector,,DIGI,10/19 - 10/19,,0.00000000,195,0.07,50.00,$ 0.04
17443 Amy Rigby,,DIGI,11/19 - 11/19,,0.00000000,77,0.04,50.00,$ 0.02
17443 Ronnie Spector,,DIGI,11/19 - 11/19,,0.00000000,161,0.06,50.00,$ 0.03
17446 Amy Rigby,,DIGI,12/19 - 12/19,,0.00000000,58,0.02,50.00,$ 0.01
17446 Ronnie Spector,,DIGI,12/19 - 12/19,,0.00000000,135,0.05,50.00,$ 0.03
17929 Amy Rigby,,MECH,01/20 - 01/20,,0.00000000,271,0.12,50.00,$ 0.06
17929 Ronnie Spector,,MECH,01/20 - 01/20,,0.00000000,158,0.07,50.00,$ 0.04
17930 Amy Rigby,,MECH,02/20 - 02/20,,0.00000000,349,0.16,50.00,$ 0.08
17930 Ronnie Spector,,MECH,02/20 - 02/20,,0.00000000,108,0.05,50.00,$ 0.03
17931 Amy Rigby,,MECH,03/20 - 03/20,,0.00000000,100,0.04,50.00,$ 0.02
17931 Ronnie Spector,,MECH,03/20 - 03/20,,0.00000000,85,0.04,50.00,$ 0.02
Tidal - USA,,,,,,,,,
17524 Tidal - Premium,,DIGI,03/20 - 03/20,,0.00000000,15,0.01,50.00,$ 0.01
17584 Tidal - Premium,,DIGI,05/20 - 05/20,,0.00000000,9,0.01,50.00,$ 0.00
XUS International Publishing - Germany,,,,,,,,,
18121 Apple Music,,DIGI,07/19 - 12/19,,0.00000000,24,0.01,50.00,$ 0.01
18121 Ronnie Spector,,DIGI,07/19 - 12/19,,0.00000000,1,0.08,50.00,$ 0.04
XUS International Publishing - South Africa,,,,,,,,,
17896 Xandrie S.A.,,MECH,07/19 - 12/19,,0.00000000,1,0.03,50.00,$ 0.01
XUS International Publishing - United Kingdom,,,,,,,,,
17896 Amazon (UK),,MECH,07/19 - 12/19,,0.00000000,3,0.01,50.00,$ 0.01
17896 Apple Music,,DIGI,07/19 - 12/19,,0.00000000,43,0.04,50.00,$ 0.02
17896 Apple Music,,MECH,07/19 - 12/19,,0.00000000,96,0.18,50.00,$ 0.09
17896 Deezer,,MECH,07/19 - 12/19,,0.00000000,50,0.05,50.00,$ 0.03
17896 Google,,DIGI,07/19 - 12/19,,0.00000000,8,0.01,50.00,$ 0.01
17896 Napster,,MECH,07/19 - 12/19,,0.00000000,8,0.01,50.00,$ 0.01
17896 Sony Music Ent,,MECH,07/19 - 12/19,,0.00000000,187,4.58,50.00,$ 2.29
17896 Spotify,,DIGI,07/19 - 12/19,,0.00000000,254,0.09,50.00,$ 0.04
17896 Spotify,,MECH,07/19 - 12/19,,0.00000000,494,0.40,50.00,$ 0.20
17896 iTunes,,DIGI,07/19 - 12/19,,0.00000000,2,0.03,50.00,$ 0.01
17896 iTunes,,MECH,07/19 - 12/19,,0.00000000,14,0.42,50.00,$ 0.21
Title,,,,,,,,,
"",Product,Income,Income,,Rate,Quantity Amount,,%,Amount
Source Ref #,Number,Type,Period,,,Received,Payable,,Payable
"",,,,,,Composition Total:,,,$ 4.65
Always With Me - Amy Rigby,,,,,,,,,
Amazon Music Free Tier - USA,,,,,,,,,
17521 Ad-supported,,DIGI,01/20 - 01/20,,0.00000000,3 0.00,,50.00,$ 0.00
Amazon Music Unlimited - USA,,,,,,,,,
17116 Amazon Music,,DIGI,12/19 - 12/19,,0.00000000,3 0.00,,50.00,$ 0.00
17129 Amazon Music,,DIGI,01/20 - 01/20,,0.00000000,32 0.05,,50.00,$ 0.03
17532 Amazon Music,,DIGI,02/20 - 02/20,,0.00000000,41 0.07,,50.00,$ 0.03
17581 Amazon Music,,DIGI,03/20 - 03/20,,0.00000000,23 0.04,,50.00,$ 0.02
17582 Amazon Music,,DIGI,04/20 - 04/20,,0.00000000,9 0.01,,50.00,$ 0.01
18035,,DIGI,05/20 - 05/20,,0.00000000,6 0.01,,50.00,$ 0.00
Amazon Prime Music - USA,,,,,,,,,
17112 Amazon Prime,,DIGI,12/19 - 12/19,,0.00000000,2 0.00,,50.00,$ 0.00
17114 Amazon Prime,,DIGI,11/19 - 11/19,,0.00000000,9 0.01,,50.00,$ 0.01
17130 Amazon Prime,,DIGI,01/20 - 01/20,,0.00000000,42 0.07,,50.00,$ 0.04
17534 Amazon Prime,,DIGI,02/20 - 02/20,,0.00000000,38 0.07,,50.00,$ 0.04
17571 Amazon Prime,,DIGI,03/20 - 03/20,,0.00000000,36 0.06,,50.00,$ 0.03
17580 Amazon Prime,,DIGI,04/20 - 04/20,,0.00000000,19 0.03,,50.00,$ 0.02
18033,,DIGI,05/20 - 05/20,,0.00000000,13 0.02,,50.00,$ 0.01
"Apple, Inc. - USA",,,,,,,,,
17309 Amy Rigby,,DIGI,10/19 - 12/19,,0.00000000,70 0.03,,50.00,$ 0.02
17934 Amy Rigby,,MECH,01/20 - 03/20,,0.00000000,438 0.17,,50.00,$ 0.09
CMRRA - Canada,,,,,,,,,
17264 Apple,,DIGI,07/17 - 09/17,,0.00000000,0 0.16,,50.00,$ 0.08
17264 Emusic,,DIGI,07/17 - 09/17,,0.00000000,0 0.01,,50.00,$ 0.00
"Google, Inc. - YouTube - USA",,,,,,,,,
