Title,,,,,,,,,
"",Product,Income,,Income,Rate,Quantity,Amount,%,Amount
Source Ref #,Number,Type,,Period,,,Received Payable,,Payable
20 Questions - Amy Rigby,,,,,,,,,
17583 Pandora,,DIGI,,04/20 - 04/20,0.00000000,4 0.00,,50.00,$ 0.00
18039 Amy Rigby,,DIGI,,05/20 - 05/20,0.00000000,9 0.00,,50.00,$ 0.00
"Spotify USA, Inc. - USA",,,,,,,,,
17424 Amy Rigby,,DIGI,,04/19 - 04/19,0.00000000,20 0.01,,50.00,$ 0.00
17426 Amy Rigby,,DIGI,,05/19 - 05/19,0.00000000,29 0.01,,50.00,$ 0.00
17428 Amy Rigby,,DIGI,,06/19 - 06/19,0.00000000,24 0.01,,50.00,$ 0.01
17431 Amy Rigby,,DIGI,,07/19 - 07/19,0.00000000,40 0.02,,50.00,$ 0.01
17434 Amy Rigby,,DIGI,,08/19 - 08/19,0.00000000,27 0.01,,50.00,$ 0.01
17440 Amy Rigby,,DIGI,,10/19 - 10/19,0.00000000,31 0.01,,50.00,$ 0.00
17443 Amy Rigby,,DIGI,,11/19 - 11/19,0.00000000,21 0.01,,50.00,$ 0.00
17929 Amy Rigby,,MECH,,01/20 - 01/20,0.00000000,96 0.04,,50.00,$ 0.02
17930 Amy Rigby,,MECH,,02/20 - 02/20,0.00000000,113 0.05,,50.00,$ 0.03
17931 Amy Rigby,,MECH,,03/20 - 03/20,0.00000000,24 0.01,,50.00,$ 0.00
Tidal - USA,,,,,,,,,
17524 Tidal - Premium,,DIGI,,03/20 - 03/20,0.00000000,4 0.00,,50.00,$ 0.00
17584 Tidal - Premium,,DIGI,,05/20 - 05/20,0.00000000,3 0.00,,50.00,$ 0.00
"",,,,,,Composition Total:,,,$ 0.44
"Happy For You - Bill Demain, Amy Rigby",,,,,,,,,
"AMI Entertainment, Inc. - USA",,,,,,,,,
17362 Grant Lee,,DIGI,,01/19 - 03/19,0.00000000,1 0.00,,50.00,$ 0.00
17363 Grant Lee,,DIGI,,04/19 - 06/19,0.00000000,2 0.01,,50.00,$ 0.00
17365 Grant Lee,,DIGI,,10/19 - 12/19,0.00000000,4 0.09,,50.00,$ 0.05
"Apple, Inc. - USA",,,,,,,,,
17309 Grant Harrison,,DIGI,,10/19 - 12/19,0.00000000,16 0.00,,50.00,$ 0.00
17309 Grant Lee,,DIGI,,10/19 - 12/19,0.00000000,141 0.03,,50.00,$ 0.02
17309 Swan Dive,,DIGI,,10/19 - 12/19,0.00000000,10 0.00,,50.00,$ 0.00
17934 Ami Sioux,,MECH,,01/20 - 03/20,0.00000000,2 0.00,,50.00,$ 0.00
17934 Grant Harrison,,MECH,,01/20 - 03/20,0.00000000,24 0.00,,50.00,$ 0.00
17934 Grant Lee,,MECH,,01/20 - 03/20,0.00000000,178 0.04,,50.00,$ 0.02
17934 Swan Dive,,MECH,,01/20 - 03/20,0.00000000,14 0.00,,50.00,$ 0.00
Title,,,,,,,,,
"",Product,Income,,Income,Rate,Quantity Amount,,%,Amount
Source Ref #,Number,Type,,Period,,Received Payable,,,Payable
CMRRA - Canada,,,,,,,,,
17264 Emusic,,DIGI,,07/17 - 09/17,0.00000000,0 0.00,,50.00,$ 0.00
"Google, Inc. - USA",,,,,,,,,
17217 Grant Lee,,DIGI,,04/19 - 06/19,0.00000000,711 0.43,,50.00,$ 0.21
17221 Grant Lee,,DIGI,,10/19 - 12/19,0.00000000,497 0.30,,50.00,$ 0.15
17221 Mack Harrison,,DIGI,,10/19 - 12/19,0.00000000,15 0.01,,50.00,$ 0.00
"Google, Inc. - YouTube - USA",,,,,,,,,
17464,,DIGI,,10/19 - 12/19,0.00000000,1 0.00,,50.00,$ 0.00
Qobuz - USA,,,,,,,,,
17411 Grant Lee,,DIGI,,10/19 - 10/19,0.00000000,1 0.00,,50.00,$ 0.00
"Spotify USA, Inc. - USA",,,,,,,,,
17424 Grant Lee,,DIGI,,04/19 - 04/19,0.00000000,"2,352 0.48",,50.00,$ 0.24
17426 Grant Lee,,DIGI,,05/19 - 05/19,0.00000000,"2,732 0.69",,50.00,$ 0.34
17428 Grant Lee,,DIGI,,06/19 - 06/19,0.00000000,"2,810 0.72",,50.00,$ 0.36
17431 Grant Lee,,DIGI,,07/19 - 07/19,0.00000000,"2,782 0.69",,50.00,$ 0.35
17434 Grant Lee,,DIGI,,08/19 - 08/19,0.00000000,"2,617 0.64",,50.00,$ 0.32
17437 Grant Lee,,DIGI,,09/19 - 09/19,0.00000000,"2,684 0.66",,50.00,$ 0.33
17440 Grant Lee,,DIGI,,10/19 - 10/19,0.00000000,"2,804 0.61",,50.00,$ 0.30
17443 Grant Lee,,DIGI,,11/19 - 11/19,0.00000000,"2,915 0.65",,50.00,$ 0.32
17443 Ztk Mack,,DIGI,,11/19 - 11/19,0.00000000,420 0.09,,50.00,$ 0.04
17446 Grant Lee,,DIGI,,12/19 - 12/19,0.00000000,"2,825 0.57",,50.00,$ 0.28
17446 Ztk Mack,,DIGI,,12/19 - 12/19,0.00000000,451 0.08,,50.00,$ 0.04
17929 Grant Lee,,MECH,,01/20 - 01/20,0.00000000,"2,948 0.66",,50.00,$ 0.33
17929 Ztk Mack,,MECH,,01/20 - 01/20,0.00000000,574 0.12,,50.00,$ 0.06
17930 Grant Lee,,MECH,,02/20 - 02/20,0.00000000,"2,920 0.64",,50.00,$ 0.32
17930 Ztk Mack,,MECH,,02/20 - 02/20,0.00000000,558 0.11,,50.00,$ 0.06
17931 Grant Lee,,MECH,,03/20 - 03/20,0.00000000,"3,122 0.73",,50.00,$ 0.37
17931 Ztk Mack,,MECH,,03/20 - 03/20,0.00000000,620 0.11,,50.00,$ 0.06
XUS International Publishing - USA,,,,,,,,,
18121 Amy Rigby,,DIGI,,07/19 - 12/19,0.00000000,"13,332 1.38",,50.00,$ 0.69
18121 Facebook,,SYNC,,07/19 - 12/19,0.00000000,0 0.03,,50.00,$ 0.02
18121 Grant Lee,,DIGI,,07/19 - 12/19,0.00000000,"3,816 0.01",,50.00,$ 0.01
18121 YouTube,,SYNC,,07/19 - 12/19,0.00000000,0 2.58,,50.00,$ 1.29
"",,,,,,Composition Total:,,,$ 6.59
Housecleaning - Amy Rigby,,,,,,,,,
Amazon Music Unlimited - USA,,,,,,,,,
17116 Amazon Music,,DIGI,,12/19 - 12/19,0.00000000,2 0.00,,50.00,$ 0.00
17129 Amazon Music,,DIGI,,01/20 - 01/20,0.00000000,4 0.01,,50.00,$ 0.00
17532 Amazon Music,,DIGI,,02/20 - 02/20,0.00000000,14 0.02,,50.00,$ 0.01
17581 Amazon Music,,DIGI,,03/20 - 03/20,0.00000000,3 0.00,,50.00,$ 0.00
17582 Amazon Music,,DIGI,,04/20 - 04/20,0.00000000,2 0.00,,50.00,$ 0.00
18035,,DIGI,,05/20 - 05/20,0.00000000,1 0.00,,50.00,$ 0.00
Title,,,,,,,,,
"",Product,Income,,Income,Rate,Quantity Amount,,%,Amount
Source Ref #,Number,Type,,Period,,Received Payable,,,Payable
Pandora - USA,,,,,,,,,
17133 Pandora,,DIGI,,01/20 - 01/20,0.00000000,2 0.00,,50.00,$ 0.00
17523 Pandora Plus,,DIGI,,02/20 - 02/20,0.00000000,1 0.00,,50.00,$ 0.00
17536 Pandora,,DIGI,,03/20 - 03/20,0.00000000,1 0.00,,50.00,$ 0.00
17583 Pandora,,DIGI,,04/20 - 04/20,0.00000000,1 0.00,,50.00,$ 0.00
17583 Pandora,,DIGI,,04/20 - 04/20,0.00000000,1 0.00,,50.00,$ 0.00
18039,,DIGI,,05/20 - 05/20,0.00000000,2 0.00,,50.00,$ 0.00
"Spotify USA, Inc. - USA",,,,,,,,,
17440 Amy Rigby,,DIGI,,10/19 - 10/19,0.00000000,23 0.01,,50.00,$ 0.00
17929 Amy Rigby,,MECH,,01/20 - 01/20,0.00000000,49 0.02,,50.00,$ 0.01
17930 Amy Rigby,,MECH,,02/20 - 02/20,0.00000000,55 0.03,,50.00,$ 0.01
"",,,,,,Composition Total:,,,$ 0.05
If You Won't Hang Around - Amy Rigby,,,,,,,,,
Amazon Music Unlimited - USA,,,,,,,,,
17116 Amazon Music,,DIGI,,12/19 - 12/19,0.00000000,6 0.01,,50.00,$ 0.00
17129 Amazon Music,,DIGI,,01/20 - 01/20,0.00000000,20 0.03,,50.00,$ 0.02
17532 Amazon Music,,DIGI,,02/20 - 02/20,0.00000000,21 0.03,,50.00,$ 0.02
17581 Amazon Music,,DIGI,,03/20 - 03/20,0.00000000,7 0.01,,50.00,$ 0.01
17582 Amazon Music,,DIGI,,04/20 - 04/20,0.00000000,6 0.01,,50.00,$ 0.00
18035 Amy Rigby,,DIGI,,05/20 - 05/20,0.00000000,6 0.01,,50.00,$ 0.00
"Apple, Inc. - USA",,,,,,,,,
17309 Amy Rigby,,DIGI,,10/19 - 12/19,0.00000000,74 0.04,,50.00,$ 0.02
17934 Amy Rigby,,MECH,,01/20 - 03/20,0.00000000,185 0.08,,50.00,$ 0.04
CMRRA - Canada,,,,,,,,,
17264 Apple,,DIGI,,07/17 - 09/17,0.00000000,0 0.10,,50.00,$ 0.05
17264 Emusic,,DIGI,,07/17 - 09/17,0.00000000,0 0.07,,50.00,$ 0.03
"Google, Inc. - YouTube - USA",,,,,,,,,
17464,,DIGI,,10/19 - 12/19,0.00000000,5 0.01,,50.00,$ 0.00
"Music Reports, Inc. - USA",,,,,,,,,
17006 Pandora Plus,,DIGI,,12/19 - 12/19,0.00000000,3 0.00,,50.00,$ 0.00
17006 Pandora,,DIGI,,12/19 - 12/19,0.00000000,2 0.00,,50.00,$ 0.00
17014 Amazon Music,,DIGI,,11/19 - 11/19,0.00000000,4 0.01,,50.00,$ 0.00
17016 Tidal - Premium,,DIGI,,01/19 - 01/19,0.00000000,1 0.00,,50.00,$ 0.00
Pandora - USA,,,,,,,,,
17133 Pandora Plus,,DIGI,,01/20 - 01/20,0.00000000,2 0.00,,50.00,$ 0.00
17133 Pandora,,DIGI,,01/20 - 01/20,0.00000000,4 0.00,,50.00,$ 0.00
17523 Pandora Plus,,DIGI,,02/20 - 02/20,0.00000000,4 0.00,,50.00,$ 0.00
17523 Pandora,,DIGI,,02/20 - 02/20,0.00000000,4 0.00,,50.00,$ 0.00
17523 Pandora,,DIGI,,02/20 - 02/20,0.00000000,1 0.00,,50.00,$ 0.00
17536 Pandora Plus,,DIGI,,03/20 - 03/20,0.00000000,2 0.00,,50.00,$ 0.00
17536 Pandora,,DIGI,,03/20 - 03/20,0.00000000,2 0.00,,50.00,$ 0.00
17583 Pandora Plus,,DIGI,,04/20 - 04/20,0.00000000,2 0.00,,50.00,$ 0.00
17583 Pandora,,DIGI,,04/20 - 04/20,0.00000000,2 0.00,,50.00,$ 0.00
18039 Amy Rigby,,DIGI,,05/20 - 05/20,0.00000000,5 0.00,,50.00,$ 0.00
Title,,,,,,,,,
"",Product,Income,Income,,Rate,Quantity Amount,,%,Amount
Source Ref #,Number,Type,Period,,,Received Payable,,,Payable
"Spotify USA, Inc. - USA",,,,,,,,,
17440 Amy Rigby,,DIGI,10/19 - 10/19,,0.00000000,25 0.01,,50.00,$ 0.00
17929 Amy Rigby,,MECH,01/20 - 01/20,,0.00000000,19 0.01,,50.00,$ 0.00
17930 Amy Rigby,,MECH,02/20 - 02/20,,0.00000000,31 0.01,,50.00,$ 0.00
Tidal - USA,,,,,,,,,
17524 Tidal - Premium,,DIGI,03/20 - 03/20,,0.00000000,3 0.00,,50.00,$ 0.00
XUS International Publishing - South Africa,,,,,,,,,
17896 Xandrie S.A.,,MECH,07/19 - 12/19,,0.00000000,1 0.03,,50.00,$ 0.01
XUS International Publishing - United Kingdom,,,,,,,,,
17896 iTunes,,MECH,07/19 - 12/19,,0.00000000,1 0.03,,50.00,$ 0.01
"",,,,,,Composition Total:,,,$ 0.25
Invisible - Amy Rigby,,,,,,,,,
Amazon Music Unlimited - USA,,,,,,,,,
17116 Amazon Music,,DIGI,12/19 - 12/19,,0.00000000,11 0.01,,50.00,$ 0.01
17129 Amazon Music,,DIGI,01/20 - 01/20,,0.00000000,18 0.03,,50.00,$ 0.01
17532 Amazon Music,,DIGI,02/20 - 02/20,,0.00000000,21 0.03,,50.00,$ 0.02
17581 Amazon Music,,DIGI,03/20 - 03/20,,0.00000000,8 0.01,,50.00,$ 0.01
17582 Amazon Music,,DIGI,04/20 - 04/20,,0.00000000,4 0.01,,50.00,$ 0.00
18035 Amy Rigby,,DIGI,05/20 - 05/20,,0.00000000,9 0.01,,50.00,$ 0.01
"Apple, Inc. - USA",,,,,,,,,
17309 Amy Rigby,,DIGI,10/19 - 12/19,,0.00000000,70 0.03,,50.00,$ 0.01
17934 Amy Rigby,,MECH,01/20 - 03/20,,0.00000000,242 0.11,,50.00,$ 0.05
CMRRA - Canada,,,,,,,,,
17264 Apple,,DIGI,07/17 - 09/17,,0.00000000,0 0.11,,50.00,$ 0.05
17264 Emusic,,DIGI,07/17 - 09/17,,0.00000000,0 0.07,,50.00,$ 0.03
"Google, Inc. - USA",,,,,,,,,
17221 Amy Rigby,,DIGI,10/19 - 12/19,,0.00000000,9 0.01,,50.00,$ 0.00
"Google, Inc. - YouTube - USA",,,,,,,,,
17464,,DIGI,10/19 - 12/19,,0.00000000,37 0.02,,50.00,$ 0.01
IHEART Communications - USA,,,,,,,,,
17131 iheart Plus,,DIGI,01/20 - 01/20,,0.00000000,2 0.00,,50.00,$ 0.00
17131 iheart Premium,,DIGI,01/20 - 01/20,,0.00000000,1 0.00,,50.00,$ 0.00
"Music Reports, Inc. - USA",,,,,,,,,
17006 Pandora Plus,,DIGI,12/19 - 12/19,,0.00000000,1 0.00,,50.00,$ 0.00
17014 Amazon Music,,DIGI,11/19 - 11/19,,0.00000000,9 0.01,,50.00,$ 0.01
Pandora - USA,,,,,,,,,
17133 Pandora Plus,,DIGI,01/20 - 01/20,,0.00000000,1 0.00,,50.00,$ 0.00
17133 Pandora,,DIGI,01/20 - 01/20,,0.00000000,7 0.00,,50.00,$ 0.00
17133 Pandora,,DIGI,01/20 - 01/20,,0.00000000,2 0.00,,50.00,$ 0.00
17523 Pandora,,DIGI,02/20 - 02/20,,0.00000000,4 0.00,,50.00,$ 0.00
17536 Pandora Plus,,DIGI,03/20 - 03/20,,0.00000000,1 0.00,,50.00,$ 0.00
17536 Pandora,,DIGI,03/20 - 03/20,,0.00000000,1 0.00,,50.00,$ 0.00
17583 Pandora Plus,,DIGI,04/20 - 04/20,,0.00000000,1 0.00,,50.00,$ 0.00
17583 Pandora,,DIGI,04/20 - 04/20,,0.00000000,1 0.00,,50.00,$ 0.00
18039 Amy Rigby,,DIGI,05/20 - 05/20,,0.00000000,4 0.00,,50.00,$ 0.00
Title,,,,,,,,,
"",Product,Income,Income,,Rate,Quantity Amount,,%,Amount
Source Ref #,Number,Type,Period,,,Received Payable,,,Payable
"Spotify USA, Inc. - USA",,,,,,,,,
17426 Amy Rigby,,DIGI,05/19 - 05/19,,0.00000000,20 0.01,,50.00,$ 0.00
17431 Amy Rigby,,DIGI,07/19 - 07/19,,0.00000000,23 0.01,,50.00,$ 0.01
17434 Amy Rigby,,DIGI,08/19 - 08/19,,0.00000000,26 0.01,,50.00,$ 0.01
17440 Amy Rigby,,DIGI,10/19 - 10/19,,0.00000000,48 0.02,,50.00,$ 0.01
17929 Amy Rigby,,MECH,01/20 - 01/20,,0.00000000,56 0.03,,50.00,$ 0.01
17930 Amy Rigby,,MECH,02/20 - 02/20,,0.00000000,80 0.04,,50.00,$ 0.02
17931 Amy Rigby,,MECH,03/20 - 03/20,,0.00000000,44 0.02,,50.00,$ 0.01
Tidal - USA,,,,,,,,,
17524 Tidal - Premium,,DIGI,03/20 - 03/20,,0.00000000,3 0.00,,50.00,$ 0.00
17584 Tidal - Premium,,DIGI,05/20 - 05/20,,0.00000000,1 0.00,,50.00,$ 0.00
XUS International Publishing - South Africa,,,,,,,,,
17896 Xandrie S.A.,,MECH,07/19 - 12/19,,0.00000000,1 0.03,,50.00,$ 0.01
XUS International Publishing - United Kingdom,,,,,,,,,
17896 iTunes,,MECH,07/19 - 12/19,,0.00000000,1 0.03,,50.00,$ 0.01
"",,,,,,Composition Total:,,,$ 0.33
"It's Not Safe - Bill Demain, Amy Rigby",,,,,,,,,
"AMI Entertainment, Inc. - USA",,,,,,,,,
17365 Aimee Mann,,DIGI,10/19 - 12/19,,0.00000000,2 0.00,,50.00,$ 0.00
Amazon Music Free Tier - USA,,,,,,,,,
17128 Ad-supported,,DIGI,12/19 - 12/19,,0.00000000,3 0.00,,50.00,$ 0.00
17530 Ad-supported,,DIGI,02/20 - 02/20,,0.00000000,1 0.00,,50.00,$ 0.00
Amazon Music Unlimited - USA,,,,,,,,,
17116 Amazon Music,,DIGI,12/19 - 12/19,,0.00000000,7 0.01,,50.00,$ 0.00
17129 Amazon Music,,DIGI,01/20 - 01/20,,0.00000000,49 0.08,,50.00,$ 0.04
17532 Amazon Music,,DIGI,02/20 - 02/20,,0.00000000,48 0.08,,50.00,$ 0.04
17581 Amazon Music,,DIGI,03/20 - 03/20,,0.00000000,28 0.04,,50.00,$ 0.02
17582 Amazon Music,,DIGI,04/20 - 04/20,,0.00000000,16 0.02,,50.00,$ 0.01
18035,,DIGI,05/20 - 05/20,,0.00000000,15 0.02,,50.00,$ 0.01
Amazon Prime Music - USA,,,,,,,,,
17112 Amazon Prime,,DIGI,12/19 - 12/19,,0.00000000,9 0.01,,50.00,$ 0.01
17114 Amazon Prime,,DIGI,11/19 - 11/19,,0.00000000,10 0.01,,50.00,$ 0.01
17130 Amazon Prime,,DIGI,01/20 - 01/20,,0.00000000,33 0.06,,50.00,$ 0.03
17534 Amazon Prime,,DIGI,02/20 - 02/20,,0.00000000,60 0.11,,50.00,$ 0.06
17571 Amazon Prime,,DIGI,03/20 - 03/20,,0.00000000,31 0.05,,50.00,$ 0.03
17580 Amazon Prime,,DIGI,04/20 - 04/20,,0.00000000,14 0.02,,50.00,$ 0.01
18033,,DIGI,05/20 - 05/20,,0.00000000,14 0.02,,50.00,$ 0.01
"Apple, Inc. - USA",,,,,,,,,
17309 Aimee Mann,,DIGI,10/19 - 12/19,,0.00000000,"2,456 0.28",,50.00,$ 0.14
17309 Amy Rigby,,DIGI,10/19 - 12/19,,0.00000000,176 0.02,,50.00,$ 0.01
17309 Gentleman Reg,,DIGI,10/19 - 12/19,,0.00000000,724 0.09,,50.00,$ 0.04
17934 Aimee Mann,,MECH,01/20 - 03/20,,0.00000000,"2,148 0.23",,50.00,$ 0.12
17934 Amy Rigby,,MECH,01/20 - 03/20,,0.00000000,928 0.09,,50.00,$ 0.05
17934 Gentleman Reg,,MECH,01/20 - 03/20,,0.00000000,786 0.09,,50.00,$ 0.04
Title,,,,,,,,,
"",Product,Income,,Income,Rate,Quantity,Amount,%,Amount
Source Ref #,Number,Type,,Period,,,Received Payable,,Payable
CMRRA - Canada,,,,,,,,,
17264 Apple,,DIGI,,07/17 - 09/17,0.00000000,0,0.09,50.00,$ 0.05
17264 Emusic,,DIGI,,07/17 - 09/17,0.00000000,0,0.00,50.00,$ 0.00
"Google, Inc. - USA",,,,,,,,,
17221 Aimee Mann,,DIGI,,10/19 - 12/19,0.00000000,310,0.09,50.00,$ 0.05
"Google, Inc. - YouTube - USA",,,,,,,,,
17464,,DIGI,,10/19 - 12/19,0.00000000,380,0.23,50.00,$ 0.12
"Music Reports, Inc. - USA",,,,,,,,,
17006 Pandora Plus,,DIGI,,12/19 - 12/19,0.00000000,3,0.00,50.00,$ 0.00
17006 Pandora,,DIGI,,12/19 - 12/19,0.00000000,3,0.00,50.00,$ 0.00
17012 Standalone,,DIGI,,12/19 - 12/19,0.00000000,1,0.00,50.00,$ 0.00
17014 Amazon Music,,DIGI,,11/19 - 11/19,0.00000000,20,0.03,50.00,$ 0.01
Pandora - USA,,,,,,,,,
17133 Pandora Plus,,DIGI,,01/20 - 01/20,0.00000000,3,0.00,50.00,$ 0.00
17133 Pandora,,DIGI,,01/20 - 01/20,0.00000000,4,0.00,50.00,$ 0.00
17523 Pandora Plus,,DIGI,,02/20 - 02/20,0.00000000,2,0.00,50.00,$ 0.00
17523 Pandora,,DIGI,,02/20 - 02/20,0.00000000,2,0.00,50.00,$ 0.00
17523 Pandora,,DIGI,,02/20 - 02/20,0.00000000,1,0.00,50.00,$ 0.00
17536 Pandora Plus,,DIGI,,03/20 - 03/20,0.00000000,5,0.00,50.00,$ 0.00
17536 Pandora,,DIGI,,03/20 - 03/20,0.00000000,1,0.00,50.00,$ 0.00
17583 Pandora Plus,,DIGI,,04/20 - 04/20,0.00000000,5,0.00,50.00,$ 0.00
17583 Pandora,,DIGI,,04/20 - 04/20,0.00000000,1,0.00,50.00,$ 0.00
18039 Amy Rigby,,DIGI,,05/20 - 05/20,0.00000000,6,0.00,50.00,$ 0.00
"Spotify USA, Inc. - USA",,,,,,,,,
17424 Aimee Mann,,DIGI,,04/19 - 04/19,0.00000000,973,0.17,50.00,$ 0.09
17426 Aimee Mann,,DIGI,,05/19 - 05/19,0.00000000,"1,102",0.23,50.00,$ 0.11
17426 Gentleman Reg,,DIGI,,05/19 - 05/19,0.00000000,67,0.01,50.00,$ 0.00
17428 Aimee Mann,,DIGI,,06/19 - 06/19,0.00000000,974,0.20,50.00,$ 0.10
17428 Gentleman Reg,,DIGI,,06/19 - 06/19,0.00000000,76,0.01,50.00,$ 0.01
17431 Aimee Mann,,DIGI,,07/19 - 07/19,0.00000000,"1,218",0.24,50.00,$ 0.12
17431 Gentleman Reg,,DIGI,,07/19 - 07/19,0.00000000,56,0.01,50.00,$ 0.01
17434 Aimee Mann,,DIGI,,08/19 - 08/19,0.00000000,"1,122",0.22,50.00,$ 0.11
17437 Aimee Mann,,DIGI,,09/19 - 09/19,0.00000000,968,0.20,50.00,$ 0.10
17437 Gentleman Reg,,DIGI,,09/19 - 09/19,0.00000000,60,0.01,50.00,$ 0.00
17440 Aimee Mann,,DIGI,,10/19 - 10/19,0.00000000,"1,041",0.18,50.00,$ 0.09
17440 Gentleman Reg,,DIGI,,10/19 - 10/19,0.00000000,54,0.01,50.00,$ 0.00
17443 Aimee Mann,,DIGI,,11/19 - 11/19,0.00000000,"1,122",0.20,50.00,$ 0.10
17443 Gentleman Reg,,DIGI,,11/19 - 11/19,0.00000000,55,0.01,50.00,$ 0.00
17446 Aimee Mann,,DIGI,,12/19 - 12/19,0.00000000,"1,065",0.17,50.00,$ 0.08
17929 Aimee Mann,,MECH,,01/20 - 01/20,0.00000000,996,0.19,50.00,$ 0.10
17929 Gentleman Reg,,MECH,,01/20 - 01/20,0.00000000,90,0.01,50.00,$ 0.00
17930 Aimee Mann,,MECH,,02/20 - 02/20,0.00000000,"1,176",0.22,50.00,$ 0.11
17930 Gentleman Reg,,MECH,,02/20 - 02/20,0.00000000,55,0.01,50.00,$ 0.00
17931 Aimee Mann,,MECH,,03/20 - 03/20,0.00000000,"1,348",0.26,50.00,$ 0.13
17931 Gentleman Reg,,MECH,,03/20 - 03/20,0.00000000,45,0.01,50.00,$ 0.00
Title,,,,,,,,,
"",Product,Income,Income,,Rate,Quantity Amount,,%,Amount
Source Ref #,Number,Type,Period,,,Received Payable,,,Payable
Tidal - USA,,,,,,,,,
17524 Tidal - Premium,,DIGI,03/20 - 03/20,,0.00000000,4 0.00,,50.00,$ 0.00
XUS International Publishing - United Kingdom,,,,,,,,,
17896 Amazon (UK),,MECH,07/19 - 12/19,,0.00000000,1 0.03,,50.00,$ 0.01
17896 iTunes,,MECH,07/19 - 12/19,,0.00000000,2 0.05,,50.00,$ 0.03
"",,,,,,Composition Total:,,,$ 2.23
"Ivory Tower - Stacey Earle, Amy Rigby",,,,,,,,,
CMRRA - Canada,,,,,,,,,
17264 Emusic,,DIGI,07/17 - 09/17,,0.00000000,0 0.00,,50.00,$ 0.00
"",,,,,,Composition Total:,,,$ 0.00
Just Someone I Had In Mind - Amy Rigby,,,,,,,,,
CMRRA - Canada,,,,,,,,,
17264 Emusic,,DIGI,07/17 - 09/17,,0.00000000,0 0.05,,50.00,$ 0.02
"",,,,,,Composition Total:,,,$ 0.02
"Keep It To Yourself - Bill Demain, Amy Rigby",,,,,,,,,
"AMI Entertainment, Inc. - USA",,,,,,,,,
17362 Amy Rigby,,DIGI,01/19 - 03/19,,0.00000000,1 0.00,,50.00,$ 0.00
"Apple, Inc. - USA",,,,,,,,,
17309 Amy Rigby,,DIGI,10/19 - 12/19,,0.00000000,178 0.04,,50.00,$ 0.02
17309 Marti Jones,,DIGI,10/19 - 12/19,,0.00000000,106 0.03,,50.00,$ 0.01
17934 Amy Rigby,,MECH,01/20 - 03/20,,0.00000000,548 0.12,,50.00,$ 0.06
17934 Marti Jones,,MECH,01/20 - 03/20,,0.00000000,64 0.02,,50.00,$ 0.01
CMRRA - Canada,,,,,,,,,
17264 Apple,,DIGI,07/17 - 09/17,,0.00000000,0 0.06,,50.00,$ 0.03
17264 Emusic,,DIGI,07/17 - 09/17,,0.00000000,0 0.05,,50.00,$ 0.02
"Google, Inc. - YouTube - USA",,,,,,,,,
17464,,DIGI,10/19 - 12/19,,0.00000000,128 0.06,,50.00,$ 0.03
"Legacy Productions, Inc. - USA",,,,,,,,,
17555 Laura,,MECH,01/20 - 01/20,,0.00000000,500 22.75,,50.00,$ 11.38
"Spotify USA, Inc. - USA",,,,,,,,,
17434 Amy Rigby,,DIGI,08/19 - 08/19,,0.00000000,60 0.01,,50.00,$ 0.01
17440 Amy Rigby,,DIGI,10/19 - 10/19,,0.00000000,48 0.01,,50.00,$ 0.00
17443 Amy Rigby,,DIGI,11/19 - 11/19,,0.00000000,50 0.01,,50.00,$ 0.00
17446 Amy Rigby,,DIGI,12/19 - 12/19,,0.00000000,45 0.01,,50.00,$ 0.00
17929 Amy Rigby,,MECH,01/20 - 01/20,,0.00000000,185 0.04,,50.00,$ 0.02
17929 Marti Jones,,MECH,01/20 - 01/20,,0.00000000,35 0.01,,50.00,$ 0.00
17930 Amy Rigby,,MECH,02/20 - 02/20,,0.00000000,221 0.04,,50.00,$ 0.02
17930 Marti Jones,,MECH,02/20 - 02/20,,0.00000000,39 0.01,,50.00,$ 0.00
17931 Amy Rigby,,MECH,03/20 - 03/20,,0.00000000,69 0.02,,50.00,$ 0.01
17931 Marti Jones,,MECH,03/20 - 03/20,,0.00000000,37 0.01,,50.00,$ 0.00
Title,,,,,,,,,
"",Product,Income,Income,,Rate,Quantity Amount,,%,Amount
Source Ref #,Number,Type,Period,,,Received Payable,,,Payable
"The Orchard Enterprises, Inc. - USA",,,,,,,,,
17393 Amy Rigby,,DIGI,03/19 - 03/19,,0.00000000,4 0.16,,50.00,$ 0.08
17397 Amy Rigby,,DIGI,07/19 - 07/19,,0.00000000,4 0.13,,50.00,$ 0.06
17398 Amy Rigby,,DIGI,08/19 - 08/19,,0.00000000,1 0.04,,50.00,$ 0.02
17400 Amy Rigby,,DIGI,10/19 - 10/19,,0.00000000,2 0.10,,50.00,$ 0.05
17401 Amy Rigby,,DIGI,11/19 - 11/19,,0.00000000,2 0.07,,50.00,$ 0.03
17402 Amy Rigby,,DIGI,12/19 - 12/19,,0.00000000,3 0.13,,50.00,$ 0.06
XUS International Publishing - United Kingdom,,,,,,,,,
17896 Apple Music,,DIGI,07/19 - 12/19,,0.00000000,18 0.01,,50.00,$ 0.01
"",,,,,,Composition Total:,,,$ 11.96
Knapsack - Amy Rigby,,,,,,,,,
Amazon Music Unlimited - USA,,,,,,,,,
17116 Amazon Music,,DIGI,12/19 - 12/19,,0.00000000,8 0.01,,50.00,$ 0.00
17129 Amazon Music,,DIGI,01/20 - 01/20,,0.00000000,45 0.07,,50.00,$ 0.04
